texto,nota,data,app,sentimento,texto_preprocessado,texto_stemmed,texto_lemmatized
ótima,5,2026-03-24 23:57:42,Hotmart Sparkle,Positivo,ótima,ótim,ótimo
perfeito!,5,2024-03-17 09:45:07,Babbel,Positivo,perfeito,perfeit,perfeito
Muito bom!,5,2023-07-21 19:37:19,Udemy,Positivo,muito bom,bom,
muito excelente 👍🙏🏼,5,2026-03-14 17:39:17,Hotmart Sparkle,Positivo,muito excelente 👍🙏🏼,excel 👍🙏🏼,excelente
Umas das melhores plataformas de aprendizagem. Sempre tem um bom curso sobre o que você precisa aprender!,5,2023-05-24 15:04:27,Udemy,Positivo,umas das melhores plataformas de aprendizagem sempre tem um bom curso sobre o que você precisa aprender,uma melhor plataform aprendiz sempr bom curs sobr precis aprend,bom plataforma aprendizagem curso precisar aprender
Demore tive boas experiências com os cursos do Diego D'Ávila. os cursos tem ótimo custo benefício.,5,2025-12-30 20:10:28,Udemy,Positivo,demore tive boas experiências com os cursos do diego dávila os cursos tem ótimo custo benefício,demor boa experi curs dieg dávil curs ótim cust benefíci,demore bom experiência curso diego dávila curso bom custo benefício
ótimo!,5,2026-04-01 13:54:34,Duolingo,Positivo,ótimo,ótim,bom
Ótimo!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5,2025-02-24 18:20:02,Google Classroom,Positivo,ótimo,ótim,bom
"Muito bom para aprender!!! Sempre indico aos meus alunos, o aplicativo e perfeito!!",5,2020-04-18 11:24:10,Khan Academy,Positivo,muito bom para aprender sempre indico aos meus alunos o aplicativo e perfeito,bom aprend sempr indic alun aplic perfeit,aprender indico aluno aplicativo perfeito
"Achei Show de Bola! O Aplicativo oferece tudo de aprendizado, Eu estudei matemática e aprendi várias coisas, Passei de ano ainda por si só!! Os vídeos são ótimos, Aulas ótimas etc! Minha nota máxima! Turma: 6⁰ Ano (Estou no 7⁰ ano agora)",5,2026-03-25 08:26:32,Khan Academy,Positivo,achei show de bola o aplicativo oferece tudo de aprendizado eu estudei matemática e aprendi várias coisas passei de ano ainda por si só os vídeos são ótimos aulas ótimas etc minha nota máxima turma ⁰ ano estou no ⁰ ano agora,ach show bol aplic oferec tud aprend estud matemá aprend vár cois pass ano aind víde ótim aul ótim etc not máx turm ano ano agor,achar show bola aplicativo oferecer aprendizado estudar matemático aprender várias coisa passar ano vídeo ótimos aula ótimas etc nota grande turma ano ano
Divertido e leve,5,2026-04-01 14:29:03,Duolingo,Positivo,divertido e leve,divert lev,divertido levar
gosto muito. É eficiente.,5,2026-03-30 13:19:43,Hotmart Sparkle,Positivo,gosto muito é eficiente,gost efici,gostar eficiente
"Muito bom,agora está muito fácil estudar, amei esse aplicativo. Prático e rápido",5,2024-11-13 18:53:36,Quizlet,Positivo,muito bomagora está muito fácil estudar amei esse aplicativo prático e rápido,bomag fácil estud ame aplic prát rápid,bomagora fácil estudar amei aplicativo prático rápido
"é um pouco difícil, mas é ótimo pois é bem explicativo! adorei, é tão bom quanto Duolingo!",5,2025-12-16 12:36:50,Babbel,Positivo,é um pouco difícil mas é ótimo pois é bem explicativo adorei é tão bom quanto duolingo,pouc difícil ótim poi bem explic ador tão bom quant duoling,difícil bom explicativo ador duolingo
Quem que inventou esse negócio? Agora meu professor fica cobrando as atividades!,5,2023-11-30 15:18:54,Khan Academy,Positivo,quem que inventou esse negócio agora meu professor fica cobrando as atividades,invent negóci agor profes fic cobr ativ,inventar negócio professor ficar cobrar atividade
muito bom,5,2024-05-19 18:20:05,Babbel,Positivo,muito bom,bom,
amo vou aprender muito agora 💖😘,5,2026-04-04 07:22:32,Duolingo,Positivo,amo vou aprender muito agora 💖😘,amo vou aprend agor,amo ir aprender
Maravilhosa,5,2026-01-15 12:46:04,Hotmart Sparkle,Positivo,maravilhosa,maravilh,maravilhoso
"App muito seguro e fácil navegação,indico e estou amando os meus cursos!",5,2026-03-09 06:11:48,Hotmart Sparkle,Positivo,app muito seguro e fácil navegaçãoindico e estou amando os meus cursos,app segur fácil navegaçãoind am curs,app seguro fácil navegaçãoindico amar curso
ótima!,5,2025-10-27 16:49:44,Quizlet,Positivo,ótima,ótim,ótimo
"ótimo estou aprendendo demais mas só falta 1 coisa, não ser tão repetitivo. mas obrigada estou adorando ❤️😋",4,2026-04-03 12:19:01,Duolingo,Positivo,ótimo estou aprendendo demais mas só falta coisa não ser tão repetitivo mas obrigada estou adorando ❤️😋,ótim aprend demal falt cois tão repeti obrig ador ❤️😋,bom aprender repetitivo adorar
muito prático,5,2024-04-25 17:08:21,Udemy,Positivo,muito prático,prát,prático
ótimo,5,2019-02-10 22:47:49,Khan Academy,Positivo,ótimo,ótim,bom
GILVAN DA.SILVA.MORAES.,5,2023-06-05 09:20:28,Google Classroom,Positivo,gilvan dasilvamoraes,gilvan dasilvamora,gilvan dasilvamoraes
"muito bom o aplicativo, e ótimo a opção de deixar baixar.",5,2023-01-31 19:02:33,Udemy,Positivo,muito bom o aplicativo e ótimo a opção de deixar baixar,bom aplic ótim opç deix baix,aplicativo ótimo opção deixar baixar
divertida,5,2025-05-21 23:46:19,Quizlet,Positivo,divertida,divert,diverter
"Excelente! Mas estou tendo problemas para abrir os vídeos, não está mudando o layout.",4,2022-03-09 21:52:35,Khan Academy,Positivo,excelente mas estou tendo problemas para abrir os vídeos não está mudando o layout,excel tend problem abr víde mud layout,excelente ter problema abrir vídeo mudar layout
"Ótima plataforma, oferece uma boa base de todos os conhecimentos",5,2020-02-18 14:26:16,Khan Academy,Positivo,ótima plataforma oferece uma boa base de todos os conhecimentos,ótim plataform oferec boa bas tod conhec,ótimo plataforma oferecer base conhecimento
Bom,4,2024-05-22 15:51:54,Photomath,Positivo,bom,bom,
Muito bom.,5,2022-11-20 07:00:04,Udemy,Positivo,muito bom,bom,
Estou amando!,5,2022-12-12 21:56:39,Udemy,Positivo,estou amando,am,amar
bom de aprender,5,2025-06-27 08:22:13,Babbel,Positivo,bom de aprender,bom aprend,aprender
"O melhor aplicativo para estudar, aulas bem didática. ótimo para quem busca aprender e melhorar o currículo.",5,2026-01-16 08:06:23,Udemy,Positivo,o melhor aplicativo para estudar aulas bem didática ótimo para quem busca aprender e melhorar o currículo,melhor aplic estud aul bem didá ótim busc aprend melhor currícul,bom aplicativo estudar aula didático bom buscar aprender melhorar currículo
melhorou meu aprendizado,5,2024-11-25 23:01:20,Quizlet,Positivo,melhorou meu aprendizado,melhor aprend,melhorar aprendizado
"ótima, aulas muito bem ensinadas",5,2026-01-15 09:17:13,Hotmart Sparkle,Positivo,ótima aulas muito bem ensinadas,ótim aul bem ensin,ótimo aula ensinado
Muito bom,5,2021-03-26 11:23:46,Khan Academy,Positivo,muito bom,bom,
"está sendo de grande valia para instrução do ensino, parabéns a toda equipe.",5,2026-03-18 08:14:57,Hotmart Sparkle,Positivo,está sendo de grande valia para instrução do ensino parabéns a toda equipe,send grand val instruç ensin parabém tod equip,ser valia instrução ensino parabéns equipe
app muito bom 👏,5,2026-02-26 20:37:07,Hotmart Sparkle,Positivo,app muito bom 👏,app bom,app
"aplicativo bem intuitivo, até agora não apresentou nenhum problema",5,2024-07-24 22:48:04,Udemy,Positivo,aplicativo bem intuitivo até agora não apresentou nenhum problema,aplic bem intui agor apresent nenhum problem,aplicativo intuitivo apresentar nenhum problema
FDP ARONBADO,5,2023-02-08 12:46:40,Google Classroom,Positivo,fdp aronbado,fdp aronb,fdp aronbado
adaptei muito bem com o aplicativo,4,2026-02-01 14:17:28,Hotmart Sparkle,Positivo,adaptei muito bem com o aplicativo,adapt bem aplic,adaptar aplicativo
estou adorando,5,2024-04-22 07:09:27,Babbel,Positivo,estou adorando,ador,adorar
o sistema de energia piorou muito o jogo,4,2026-04-06 14:13:00,Duolingo,Positivo,o sistema de energia piorou muito o jogo,sistem energ pior jog,energia piorar jogo
gosto muito da facilidade de navegar,5,2026-03-11 19:55:15,Hotmart Sparkle,Positivo,gosto muito da facilidade de navegar,gost facil naveg,gostar facilidade navegar
Boa,5,2024-02-02 08:23:16,Udemy,Positivo,boa,boa,
"a plataforma é excelente, podemos baixar e assistir de qualquer lugar.",5,2026-03-02 22:25:25,Hotmart Sparkle,Positivo,a plataforma é excelente podemos baixar e assistir de qualquer lugar,plataform excel pod baix assist qualqu lug,plataforma excelente poder baixar assistir
ótimo aprendi muitas coisas é muito bom recomendo para todos as pessoas,5,2026-04-04 15:54:48,Duolingo,Positivo,ótimo aprendi muitas coisas é muito bom recomendo para todos as pessoas,ótim aprend muit cois bom recom tod pesso,bom aprender muito coisa recomendo pessoa
"Mto bom, só precisa melhorar o acesso aos arquivos anexos. Obrigado!",5,2023-08-27 14:13:29,Udemy,Positivo,mto bom só precisa melhorar o acesso aos arquivos anexos obrigado,mto bom precis melhor acess arqu anex obrig,mto precisar melhorar acesso arquivo anexo
"muito bom, parabéns aos desenvolvedores👏👏",5,2026-04-03 18:24:24,Duolingo,Positivo,muito bom parabéns aos desenvolvedores👏👏,bom parabém desenvolvedores👏👏,parabéns desenvolvedor
muito bom super recomendo,5,2026-04-06 10:06:29,Duolingo,Positivo,muito bom super recomendo,bom sup recom,super recomer
"a udemy é maravilhosa, curso muito bom só que estou tento dificuldade para fazer login usando o gmail que dificulta meus estudos",4,2025-06-21 12:17:22,Udemy,Positivo,a udemy é maravilhosa curso muito bom só que estou tento dificuldade para fazer login usando o gmail que dificulta meus estudos,udemy maravilh curs bom tent dificuldad faz login us gmail dificult estud,udemy maravilhoso curso tento dificuldade login usar gmail dificultar estudo
muito bom.,5,2024-11-23 19:12:21,Babbel,Positivo,muito bom,bom,
"a Marlene ensina muito bem, vó continuar vendo as aulas,eu aprendi bastante, estou amando.",5,2026-02-22 20:50:48,Hotmart Sparkle,Positivo,a marlene ensina muito bem vó continuar vendo as aulaseu aprendi bastante estou amando,marlen ensin bem continu vend aulas aprend bast am,marlene ensin continuar ver aulaseu aprender amar
"Eu gostei muito já faz 1 mês que estou utilizando o Photomath e já me ajudou nas aulas de matemática, eu uso ele para eu estudar pra prova e ajuda muito",5,2024-09-04 16:07:32,Photomath,Positivo,eu gostei muito já faz mês que estou utilizando o photomath e já me ajudou nas aulas de matemática eu uso ele para eu estudar pra prova e ajuda muito,gost faz mê utiliz photomath ajud aul matemá uso estud pra prov ajud,gostar utilizar photomath ajudar aula matemática usar estudar pra prova ajudar
Maravilhoso,5,2020-03-28 13:53:42,Khan Academy,Positivo,maravilhoso,maravilh,maravilhoso
Muito bom amei muito,5,2025-01-23 00:41:11,Quizlet,Positivo,muito bom amei muito,bom ame,amei
"muito bom incrível!,eu estou amando n tenho nenhuma reclamação para fazer sobre esse app",5,2025-05-08 05:30:02,Quizlet,Positivo,muito bom incríveleu estou amando n tenho nenhuma reclamação para fazer sobre esse app,bom incrível am nenhum reclam faz sobr app,incríveler amar reclamação app
achei o app muito bom estou aprendendo coreano e amei,4,2025-01-31 17:48:05,Quizlet,Positivo,achei o app muito bom estou aprendendo coreano e amei,ach app bom aprend core ame,achar app aprender coreano ameir
"faço minhas aulas e acho muito bom, esse aplicativo.",5,2026-03-02 15:48:45,Hotmart Sparkle,Positivo,faço minhas aulas e acho muito bom esse aplicativo,faç aul ach bom aplic,aula achar aplicativo
Ótimo para vc que tem dificuldade para aprender 😃,5,2024-11-12 07:01:31,Quizlet,Positivo,ótimo para vc que tem dificuldade para aprender 😃,ótim dificuldad aprend,bom dificuldade aprender
ótimo plataforma,5,2026-02-26 09:48:34,Hotmart Sparkle,Positivo,ótimo plataforma,ótim plataform,bom plataforma
Parabéns excelente trabalho lindo Obrigado,5,2023-06-16 19:42:52,Khan Academy,Positivo,parabéns excelente trabalho lindo obrigado,parabém excel trabalh lind obrig,parabéns excelente trabalho lir
muito bom ensina várias coisas diferentes,5,2026-04-03 08:48:57,Duolingo,Positivo,muito bom ensina várias coisas diferentes,bom ensin vár cois difer,ensina várias coisa diferente
"Segundo dia, segunda lição, até agora bem interessante o método de aprendizagem e revisão. Estou gostando.",5,2024-12-26 20:08:32,Babbel,Positivo,segundo dia segunda lição até agora bem interessante o método de aprendizagem e revisão estou gostando,segund dia segund liç agor bem interess métod aprendiz revis gost,dia lição interessante método aprendizagem revisão gostar
Otimo vale a pena,5,2021-03-07 18:45:01,Khan Academy,Positivo,otimo vale a pena,otim val pen,otimo valer pena
"Muito bom, gosto muito!",5,2026-02-14 14:56:49,Hotmart Sparkle,Positivo,muito bom gosto muito,bom gost,gosto
VOCE PODE SAIR BEM NAS PROVAS DE TODAS AS MATERIAS,5,2022-04-17 09:17:16,Khan Academy,Positivo,voce pode sair bem nas provas de todas as materias,voc pod sair bem prov tod mat,voce sair prova materia
"aplicativo bom, mas seria melhor se pudesse dar zoom nas aulas",4,2024-07-15 15:00:52,Udemy,Positivo,aplicativo bom mas seria melhor se pudesse dar zoom nas aulas,aplic bom melhor pud dar zoom aul,aplicativo bom poder zoom aula
muito bom,5,2025-05-16 05:02:37,Photomath,Positivo,muito bom,bom,
muito bom,5,2026-02-15 15:03:18,Hotmart Sparkle,Positivo,muito bom,bom,
Ótimo apricativo para quem gosta de aprender de uma forma fácil e eficiente. Os dubladores são todos ótimos. O Wendel Bezerra é muito profissional como dublador.,5,2020-09-06 18:15:43,Khan Academy,Positivo,ótimo apricativo para quem gosta de aprender de uma forma fácil e eficiente os dubladores são todos ótimos o wendel bezerra é muito profissional como dublador,ótim apric gost aprend form fácil efici dubl tod ótim wendel bezerr profiss dubl,bom apricativo gostar aprender fácil eficiente dublador ótimos wendel bezerra profissional dublador
me ajudou muito no inglês 😃,5,2026-04-05 09:19:59,Duolingo,Positivo,me ajudou muito no inglês 😃,ajud ingl,ajudar inglês
Eu gostei mais antes era melhor e ainda eu tinha que fazer tudo denovo a mão pq eu quase errei tudo,4,2024-03-20 11:48:56,Photomath,Positivo,eu gostei mais antes era melhor e ainda eu tinha que fazer tudo denovo a mão pq eu quase errei tudo,gost ant melhor aind faz tud denov mão quas err tud,gostar bom ter denovo mão quase errei
Muito bom me ajuda muito nas tarefas de matemática,5,2024-05-15 18:01:15,Photomath,Positivo,muito bom me ajuda muito nas tarefas de matemática,bom ajud taref matemá,ajudar tarefa matemática
estou amando essa plataforma as aulas são top amei!,5,2026-01-28 08:33:26,Hotmart Sparkle,Positivo,estou amando essa plataforma as aulas são top amei,am plataform aul top ame,amar plataforma aula top ameir
Me ajuda muito quando tenho dificuldade além de me ajudar passo a passo como fazer as contas 👍,5,2024-06-24 12:43:37,Photomath,Positivo,me ajuda muito quando tenho dificuldade além de me ajudar passo a passo como fazer as contas 👍,ajud dificuldad além ajud pass pass faz cont,ajudar dificuldade ajudar passo passo conta
Nota 1000,5,2022-07-04 11:44:52,Udemy,Positivo,nota,not,nota
Tu não quis brotar né? tu não quis sentar né? Agr fala pra mim na cara de pau quer ser minha mulher 😒,5,2022-10-21 22:19:46,Google Classroom,Positivo,tu não quis brotar né tu não quis sentar né agr fala pra mim na cara de pau quer ser minha mulher 😒,quil brot quil sent agr fal pra mim car pau qu mulh,querer brotar querer sentar agr falar pra eu cara pau mulher
muito bom,5,2024-11-15 09:49:06,Photomath,Positivo,muito bom,bom,
ótimo,5,2026-02-28 12:42:51,Hotmart Sparkle,Positivo,ótimo,ótim,bom
perfeito,5,2026-04-02 01:16:53,Duolingo,Positivo,perfeito,perfeit,perfeito
muito bom,5,2026-01-28 22:03:34,Hotmart Sparkle,Positivo,muito bom,bom,
"Amei esse app. Podia ter mais materias, como história, geografia e português",5,2019-01-26 08:33:09,Khan Academy,Positivo,amei esse app podia ter mais materias como história geografia e português,ame app pod ter mat histór geograf portugu,ameir app materia história Geografia português
Muito bom e útil,5,2024-11-30 14:47:24,Google Classroom,Positivo,muito bom e útil,bom útil,útil
Excelente!,5,2023-11-23 13:37:36,Babbel,Positivo,excelente,excel,excelente
Bem legal,5,2023-03-10 13:56:03,Babbel,Positivo,bem legal,bem legal,legal
"o app é muito bom, simples de usar, intuitivo, acredito nunca ter travado. Quanto aos cursos, os que adquiri são de boa qualidade. recomendo",4,2023-07-12 23:06:40,Udemy,Positivo,o app é muito bom simples de usar intuitivo acredito nunca ter travado quanto aos cursos os que adquiri são de boa qualidade recomendo,app bom simpl us intui acredit nunc ter trav quant curs adquir boa qual recom,app simples intuitivo acreditar travar curso adquirir qualidade recomer
tem como ver quem caiu na sua sala nesse aplicativo??,5,2025-12-30 03:12:36,Google Classroom,Positivo,tem como ver quem caiu na sua sala nesse aplicativo,ver caiu sal ness aplic,cair sala aplicativo
tomara que Ele não me mate 🙌🏼,5,2026-04-05 12:49:23,Duolingo,Positivo,tomara que ele não me mate 🙌🏼,tom mat,tomaro mate
muito bom,5,2026-03-22 21:56:16,Google Classroom,Positivo,muito bom,bom,
MUITO BOM!!!!!!,5,2025-09-10 19:58:02,Khan Academy,Positivo,muito bom,bom,
"ótimo ótimo ótimo, se vc quer aprender inglês ou conquistar outra língua, o duolinho pode te ensinar do zero, ou até sobre o mais difícil, instale, vc não se arrependerá 👍;-;",5,2026-04-02 19:42:11,Duolingo,Positivo,ótimo ótimo ótimo se vc quer aprender inglês ou conquistar outra língua o duolinho pode te ensinar do zero ou até sobre o mais difícil instale vc não se arrependerá 👍,ótim ótim ótim qu aprend ingl conquist outr língu duol pod ensin zer sobr difícil instal arrepend,bom bom bom aprender inglês conquistar língua duolinho ensinar difícil instale arrepender
"Ótimo, estou muito feliz com essa versão p celular",5,2024-03-16 10:33:40,Udemy,Positivo,ótimo estou muito feliz com essa versão p celular,ótim feliz vers celul,bom feliz versão celular
muito prático! e o melhor podemos comprar e vender! sensacional!!,5,2026-01-22 12:51:25,Hotmart Sparkle,Positivo,muito prático e o melhor podemos comprar e vender sensacional,prát melhor pod compr vend sensac,prático bom poder comprar vender sensacional
"amei ele evolui muito com o Duolingo podem instalar sem medo ele é ótimo para quem quer aprender em inglês,espanhol e outras línguas !!!",5,2026-04-02 18:32:08,Duolingo,Positivo,amei ele evolui muito com o duolingo podem instalar sem medo ele é ótimo para quem quer aprender em inglêsespanhol e outras línguas,ame evolu duoling pod instal med ótim qu aprend inglêsespanhol outr língu,ameir evoluir duolingo instalar medo bom aprender inglêsespanhol língua
ótimo me ajudou muito,5,2019-02-26 18:04:07,Khan Academy,Positivo,ótimo me ajudou muito,ótim ajud,bom ajudar
achei bom,5,2026-03-19 05:28:18,Hotmart Sparkle,Positivo,achei bom,ach bom,achar
Arrasou,5,2024-12-26 20:35:34,Photomath,Positivo,arrasou,arras,arrasar
"É uma plataforma de fácil acesso, comprei alguns curso e utilizo sempre, are o momento não tenho nenhum ponto negativo",5,2026-02-04 12:54:07,Hotmart Sparkle,Positivo,é uma plataforma de fácil acesso comprei alguns curso e utilizo sempre are o momento não tenho nenhum ponto negativo,plataform fácil acess compr algum curs utiliz sempr are moment nenhum pont nega,plataforma fácil acesso comprei curso utilizar are nenhum negativo
Quando eu vou para minha escola eu vou ficar gêmea,5,2024-12-17 17:35:02,Quizlet,Positivo,quando eu vou para minha escola eu vou ficar gêmea,vou escol vou fic gême,ir escola ir ficar gêmea
"muito bom, parece que agora vou aprender",5,2024-07-02 09:28:23,Babbel,Positivo,muito bom parece que agora vou aprender,bom parec agor vou aprend,ir aprender
Boaa,5,2023-08-31 19:09:13,Babbel,Positivo,boaa,boa,boaa
Gosto do Hotmart. É prático e intuitivo.,4,2026-03-13 14:04:23,Hotmart Sparkle,Positivo,gosto do hotmart é prático e intuitivo,gost hotmart prát intui,gosto hotmart prático intuitivo
"excelente app, parabéns aos desenvolvedores",5,2025-12-06 13:49:37,Photomath,Positivo,excelente app parabéns aos desenvolvedores,excel app parabém desenvolv,excelente app parabém desenvolvedor
Esse aplicativo é muito bom! As perguntas são ótimas!!,5,2021-04-14 09:34:29,Khan Academy,Positivo,esse aplicativo é muito bom as perguntas são ótimas,aplic bom pergunt ótim,aplicativo pergunta ótimas
"melhor aplicativo de idiomas que já usei, meu plano vivo me deu o brinde de poder escolher 5 línguas para aprender, se eu precisar aprender outra sei aonde investir, as lições tem informações importantes e são muito claras, sempre tive dificuldade em inglês por não ser derivado do latim e ser uma língua bem mais ""simples"" então o meu cérebro fica me dizendo que faltam conectivos, sendo que não faltam. Enfim está me ajudando muito, estou apaixonada, o melhor sem sombra de dúvidas 😍",5,2025-03-11 12:16:42,Babbel,Positivo,melhor aplicativo de idiomas que já usei meu plano vivo me deu o brinde de poder escolher línguas para aprender se eu precisar aprender outra sei aonde investir as lições tem informações importantes e são muito claras sempre tive dificuldade em inglês por não ser derivado do latim e ser uma língua bem mais simples então o meu cérebro fica me dizendo que faltam conectivos sendo que não faltam enfim está me ajudando muito estou apaixonada o melhor sem sombra de dúvidas 😍,melhor aplic idiom use plan viv deu brind pod escolh língu aprend precis aprend outr sei aond invest liç inform import cl sempr dificuldad ingl deriv latim língu bem simpl ent cérebr fic diz falt conec send falt enfim ajud apaixon melhor sombr dúv,bom aplicativo idioma usei plano vivo dar brinde escolher língua aprender precisar aprender aonde investir lição informação importante claro dificuldade inglês derivar latim língua simples cérebro ficar dizer faltar conectivo ser faltar enfim ajudar apaixonado bom sombra dúvida
Muito bom,5,2019-04-01 11:47:42,Khan Academy,Positivo,muito bom,bom,
"App perfeito,muito preciso e claro nas respostas😳😳😳",5,2024-03-18 14:33:37,Photomath,Positivo,app perfeitomuito preciso e claro nas respostas😳😳😳,app perfeitomuit precis clar respostas😳😳😳,app perfeitomuito preciso claro resposta
amei tô aprendendo muito,5,2026-04-03 00:05:49,Duolingo,Positivo,amei tô aprendendo muito,ame aprend,ameir aprender
😭😭😭😭😭😭😭😭,5,2023-04-11 19:57:05,Google Classroom,Positivo,😭😭😭😭😭😭😭😭,😭😭😭😭😭😭😭😭,
Esse aplicativo é muito bom,5,2020-04-29 11:37:03,Khan Academy,Positivo,esse aplicativo é muito bom,aplic bom,aplicativo
"Estou adorando, principalmente por ter uma interface bastante intuitiva e sem tantas ""firulas"".",5,2023-08-22 23:25:52,Babbel,Positivo,estou adorando principalmente por ter uma interface bastante intuitiva e sem tantas firulas,ador princip ter interfac bast intui tant firul,adorar principalmente interface intuitivo tanto firula
Excelente aquisição!,5,2026-02-18 11:22:01,Hotmart Sparkle,Positivo,excelente aquisição,excel aquis,excelente aquisição
"Esse app me deu depressão, leptospirose, raiva entre outras doenças mortais",5,2024-06-26 19:32:54,Khan Academy,Positivo,esse app me deu depressão leptospirose raiva entre outras doenças mortais,app deu depress leptospiros raiv outr doenç mort,app dar depressão leptospirose raivo doença mortal
muito bom esse aplicativo para estudar outras línguas só as vezes escreve errado mas tirando isso está ótimo para estudar recomendo muito,4,2024-12-11 09:43:47,Quizlet,Positivo,muito bom esse aplicativo para estudar outras línguas só as vezes escreve errado mas tirando isso está ótimo para estudar recomendo muito,bom aplic estud outr língu vez escrev err tir ótim estud recom,aplicativo estudar língua escrever errar tirar bom estudar recomer
"muito bom para fazer revisões rapidinhas, massa demais 👍",5,2025-04-26 05:48:23,Quizlet,Positivo,muito bom para fazer revisões rapidinhas massa demais 👍,bom faz revis rapid mass demal,revisão rapidinho massa
"Obrigada pra quem fez esse app, ele é ótimo!! <3",5,2019-05-17 23:34:27,Khan Academy,Positivo,obrigada pra quem fez esse app ele é ótimo,obrig pra fez app ótim,pra app bom
"é um aplicativo muito bom, ajuda aprender muito rápido",5,2025-05-12 22:38:13,Babbel,Positivo,é um aplicativo muito bom ajuda aprender muito rápido,aplic bom ajud aprend rápid,aplicativo ajudar aprender rápido
muito bom me ajuda muito nos estudos,5,2024-03-23 17:04:07,Photomath,Positivo,muito bom me ajuda muito nos estudos,bom ajud estud,ajudar estudo
"muito bom , estou aprendendo a falar a língua da Turquia por que tenho um sonho de viajar para lá ❤️",5,2026-04-02 14:58:56,Duolingo,Positivo,muito bom estou aprendendo a falar a língua da turquia por que tenho um sonho de viajar para lá ❤️,bom aprend fal língu turqu sonh viaj,aprender falar língua turquia sonho viajar
"Muito Bom, Agora posso falar com qualquer pessoa. Também estou arrasando na matéria de inglês na minha escola! Aprovado.",5,2026-04-01 22:14:46,Duolingo,Positivo,muito bom agora posso falar com qualquer pessoa também estou arrasando na matéria de inglês na minha escola aprovado,bom agor poss fal qualqu pesso arras matér ingl escol aprov,falar pessoa arrasar matéria inglês escola aprovar
"Muito bom, vídeo aulas bem interessantes",5,2018-10-22 16:37:20,Khan Academy,Positivo,muito bom vídeo aulas bem interessantes,bom víde aul bem interess,vídeo aula interessante
ótimo APP,5,2026-03-11 02:00:13,Hotmart Sparkle,Positivo,ótimo app,ótim app,bom app
Muito útil,5,2023-12-30 17:45:12,Google Classroom,Positivo,muito útil,útil,útil
"facilidade e agilidade , são os melhores recursos nesse app",5,2026-03-24 04:56:32,Hotmart Sparkle,Positivo,facilidade e agilidade são os melhores recursos nesse app,facil agil melhor recurs ness app,facilidade agilidade bom recurso app
"É bom, ajuda muito, mais ainda falta alguns recursos e ferramentas, os bugs ainda incomodam.",4,2024-04-27 10:13:22,Google Classroom,Positivo,é bom ajuda muito mais ainda falta alguns recursos e ferramentas os bugs ainda incomodam,bom ajud aind falt algum recurs ferrament bug aind incomod,ajudar recurso ferramento bugs incomodar
"É uma iniciativa muito nobre, que dá portunidade a muitas pessoas sem condições. Realmente um trabalho que têm que ser reconhecido e incentivado. Agradeço muito a vocês pelo empenho em prol da propagação do conhecimento.",5,2020-06-12 15:36:33,Khan Academy,Positivo,é uma iniciativa muito nobre que dá portunidade a muitas pessoas sem condições realmente um trabalho que têm que ser reconhecido e incentivado agradeço muito a vocês pelo empenho em prol da propagação do conhecimento,inici nobr portun muit pesso cond real trabalh têm reconhec incentiv agradeç empenh prol propag conhec,iniciativa nobre portunidade muito pessoa condição realmente trabalho reconhecer incentivar agradeço empenho prol propagação conhecimento
"Muito bom, tem todas as matérias e ainda dá para criar seus próprios flashcards,tem simulados, até jogo de combinar par, muito bom. 1.000/10",4,2025-04-12 09:18:23,Quizlet,Positivo,muito bom tem todas as matérias e ainda dá para criar seus próprios flashcardstem simulados até jogo de combinar par muito bom,bom tod matér aind cri própri flashcardst simul jog combin par bom,matéria criar próprio flashcardst simular jogo combinar par
"Sou Aluno, e não estou conseguindo acessar a conta, na hora de digitar a senha o tlecado não entra, reinicie o aplicativo e desinstalei e instalei e continua. Mesma coisa.",5,2023-03-23 12:13:25,Udemy,Positivo,sou aluno e não estou conseguindo acessar a conta na hora de digitar a senha o tlecado não entra reinicie o aplicativo e desinstalei e instalei e continua mesma coisa,alun consegu acess cont hor digit senh tlec entr reinici aplic desinstal instal continu mesm cois,aluno conseguir acessar conta hora digitar senha tlecado entrar reinicie aplicativo desinstalei instalei continuar mesmo
"é ótimo porém meio complicado de usar, vocês podem melhorar isso.",4,2019-04-24 14:20:57,Khan Academy,Positivo,é ótimo porém meio complicado de usar vocês podem melhorar isso,ótim porém mei complic us pod melhor,bom complicado melhorar
"Muito bom, de fácil manuseio e acesso aos materiais de aulas.",5,2026-02-24 12:21:18,Hotmart Sparkle,Positivo,muito bom de fácil manuseio e acesso aos materiais de aulas,bom fácil manusei acess mater aul,fácil manuseio acesso material aula
Legal 😎 bom de mais ➕ Google Classroom é o app mais legal do mundo inteiro bom dimais Legal de mais eu amo esse app,5,2023-12-06 13:25:57,Google Classroom,Positivo,legal 😎 bom de mais ➕ google classroom é o app mais legal do mundo inteiro bom dimais legal de mais eu amo esse app,legal bom googl classroom app legal mund int bom dimal legal amo app,legal google classroom app legal mundo inteiro dimal legal amo app
"O aplicativo realmente ajuda muito no desenvolvimento de perguntas , equações etc .",5,2024-04-21 10:36:57,Photomath,Positivo,o aplicativo realmente ajuda muito no desenvolvimento de perguntas equações etc,aplic real ajud desenvolv pergunt equaç etc,aplicativo realmente ajudar desenvolvimento pergunta equação etc
